priority,plan_code,fund_name,sheet,what_this_sheet_is,why_flagged,source_pdf,model_says_it_used,artifacts_folder,VERDICT,LAYER (transcription/transformation/assumption/image),PDF_PAGE_CHECKED,CORRECT_VALUE_IF_WRONG,NOTES
3-LOW,nyc_ers,New York City (NY) ERS,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,NY_NYC-ERS_AV_2020_76.pdf,p121 Distribution of Pension Benefits by Caus,Data Extraction/runs/_batch_round3/nyc_ers_Retirement_20260729_222216,,,,,
3-LOW,nyc_ers,New York City (NY) ERS,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,NY_NYC-ERS_AV_2020_76.pdf,p67 Active Termination Rates,Data Extraction/runs/_batch_round3/nyc_ers_Sep_Rate_20260729_215802,,,,,
3-LOW,phi,Philadelphia (PA) Municipal,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,PA_PHILADELPHIACITY-MPERS_AV_2019_152.pdf,p78 Distribution of Active Participants (Exc,Data Extraction/runs/_batch_round3/phi_Age_Serv_Num_20260729_231022,,,,,
3-LOW,phi,Philadelphia (PA) Municipal,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,PA_PHILADELPHIACITY-MPERS_AV_2019_152.pdf,p78 Distribution of Active Participants (Exc; p78 Distribution of Active Participants (Exc,Data Extraction/runs/_batch_round3/phi_Age_Serv_Wage_20260729_231054,,,,,
3-LOW,phi,Philadelphia (PA) Municipal,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,PA_PHILADELPHIACITY-MPERS_AV_2019_152.pdf,p87 Table A-26 Age Distribution of Retired M,Data Extraction/runs/_batch_round3/phi_Retirement_20260729_232051,,,,,
3-LOW,phi,Philadelphia (PA) Municipal,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,PA_PHILADELPHIACITY-MPERS_AV_2019_152.pdf,p105 Rates of Termination (Sample Rates),Data Extraction/runs/_batch_round3/phi_Sep_Rate_20260729_231156,,,,,
3-LOW,phx,Phoenix (AZ) ERS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,AZ_PHOENIXCITY-COPERS_AV_2019_94.pdf,p38 Exhibit F.3 Active Member Counts by Age ,Data Extraction/runs/_batch_round3/phx_Age_Serv_Num_20260729_232111,,,,,
3-LOW,phx,Phoenix (AZ) ERS,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,AZ_PHOENIXCITY-COPERS_AV_2019_94.pdf,p39 Active Member Average Salary by Age and ; p38 Active Member Counts by Age and Service,Data Extraction/runs/_batch_round3/phx_Age_Serv_Wage_20260729_232127,,,,,
3-LOW,phx,Phoenix (AZ) ERS,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,AZ_PHOENIXCITY-COPERS_AV_2019_94.pdf,p48 Sample Probability of Death; p38 Active Member Counts by Age and Service; p41 Summary of Members in Pay Status,Data Extraction/runs/_batch_round3/phx_Avg_Mort_20260729_232223,,,,,
3-LOW,phx,Phoenix (AZ) ERS,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,AZ_PHOENIXCITY-COPERS_AV_2019_94.pdf,p41 Exhibit F.6 Summary of Members in Pay St,Data Extraction/runs/_batch_round3/phx_Retirement_20260729_232301,,,,,
3-LOW,phx,Phoenix (AZ) ERS,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,AZ_PHOENIXCITY-COPERS_AV_2019_94.pdf,p49 Termination rates (for causes other than,Data Extraction/runs/_batch_round3/phx_Sep_Rate_20260729_232207,,,,,
3-LOW,sd,San Diego (CA) ERS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,CA_SANDIEGOCITY-SDCERS_AV_2019_144.pdf,p44 Distribution of Active Members as of Jun,Data Extraction/runs/_batch_round3/sd_Age_Serv_Num_20260729_232320,,,,,
3-LOW,sd,San Diego (CA) ERS,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,CA_SANDIEGOCITY-SDCERS_AV_2019_144.pdf,p44 Distribution of Active Members as of Jun; p44 Distribution of Active Members as of Jun,Data Extraction/runs/_batch_round3/sd_Age_Serv_Wage_20260729_232342,,,,,
3-LOW,sd,San Diego (CA) ERS,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,CA_SANDIEGOCITY-SDCERS_AV_2019_144.pdf,p50 Table A-16 Distribution of Retirees (Inc; p47 Table A-13 Retirees (Includes DROP Parti,Data Extraction/runs/_batch_round3/sd_Retirement_20260729_234822,,,,,
3-LOW,sd,San Diego (CA) ERS,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,CA_SANDIEGOCITY-SDCERS_AV_2019_144.pdf,p53 Rates of Termination,Data Extraction/runs/_batch_round3/sd_Sep_Rate_20260729_234142,,,,,
3-LOW,sea,Seattle (WA) ERS,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,WA_SEATTLECITY-ERS_AV_2019_156.pdf,p50 Mortality – Plans 1 and 2; p63 Distribution of Employees and Salaries a; p60 Members Receiving Service Retirement Ben,Data Extraction/runs/_batch_round3/sea_Avg_Mort_20260730_004543,,,,,
3-LOW,sea,Seattle (WA) ERS,Retirement,Retirees: count and average benefit by age band,no automated check complained - spot-check a few cells,WA_SEATTLECITY-ERS_AV_2019_156.pdf,p60 Members Receiving Service Retirement Ben; p61 Members Receiving Disability Retirement ; p62 Survivors Receiving Retirement Benefits ,Data Extraction/runs/_batch_round3/sea_Retirement_20260730_004625,,,,,
3-LOW,sea,Seattle (WA) ERS,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,WA_SEATTLECITY-ERS_AV_2019_156.pdf,p51 Other Terminations of Employment Among M,Data Extraction/runs/_batch_round3/sea_Sep_Rate_20260730_004436,,,,,
3-LOW,sf,San Francisco (CA) ERS,Age_Serv_Num,Active members: headcount by age x years of service,no automated check complained - spot-check a few cells,CA_SANFRANCITYCOUNTY-SFERS_AV_2019_98.pdf,p53 Distribution of Active Members as of Jul,Data Extraction/runs/_batch_round3/sf_Age_Serv_Num_20260730_004731,,,,,
3-LOW,sf,San Francisco (CA) ERS,Age_Serv_Wage,Active members: average salary by age x years of service,no automated check complained - spot-check a few cells,CA_SANFRANCITYCOUNTY-SFERS_AV_2019_98.pdf,p53 Distribution of Active Members as of Jul; p53 Distribution of Active Members as of Jul,Data Extraction/runs/_batch_round3/sf_Age_Serv_Wage_20260730_004757,,,,,
3-LOW,sf,San Francisco (CA) ERS,Avg_Mort,Mortality (death) probability by age,no automated check complained - spot-check a few cells,CA_SANFRANCITYCOUNTY-SFERS_AV_2019_98.pdf,"p72 Base Rates of Mortality for Healthy Live; p53 Distribution of Active Members as of Jul; p57 Distribution of Retirees, Disabled Membe",Data Extraction/runs/_batch_round3/sf_Avg_Mort_20260730_005836,,,,,
3-LOW,sf,San Francisco (CA) ERS,Sep_Rate,Termination/withdrawal rates by age x service,no automated check complained - spot-check a few cells,CA_SANFRANCITYCOUNTY-SFERS_AV_2019_98.pdf,p68 Misc. Rates of Termination by Age and Se,Data Extraction/runs/_batch_round3/sf_Sep_Rate_20260730_005748,,,,,
